,Name
425,Louise O'Neill
426,Tochi Onyebuchi
427,Alice Oseman
428,Christopher Paolini
429,Emily X.R. Pan
430,Kevin Panetta
431,Linda Sue Park
432,Francine Pascal
433,Sonia Patel
434,Katherine Paterson
435,James Patterson
436,Gary Paulsen
437,Jackson Pearce
438,Mary E. Pearson
439,Richard Peck (writer)
440,Robert Newton Peck
441,Mal Peet
442,Anna Perera
443,Stephanie Perkins
444,Julie Anne Peters
445,Stefan Petrucha
446,Stella Pevsner
447,K. M. Peyton
448,Susan Beth Pfeffer
449,James Clancy Phelan
450,Rodman Philbrick
451,Ben Philippe
452,Joan Phipson
453,Jodi Picoult
454,Meredith Ann Pierce
455,Tamora Pierce
456,Aprilynne Pike
457,Christopher Pike (author)
458,Daniel Pinkwater
459,Elizabeth Marie Pope
460,Connie Porter
461,Susan Price
462,Francine Prose
463,Anne Provoost
464,Philip Pullman
465,Matthew Quick
466,Dawn Quigley
467,Bali Rai
468,Janette Rallison
469,Ellen Raskin
470,Wilson Rawls
471,Carolyn Reeder
472,Celia Rees
473,David Rees (author)
474,Sarah Rees Brennan
475,Philip Reeve
476,Kathryn Reiss
477,Louise Rennison
478,Jason Reynolds
479,Morton Rhue
480,Randy Ribay
481,Ransom Riggs
482,Ann Rinaldi
483,Rick Riordan
484,Thomas Rockwell
485,Ginny Rorby
486,Malcolm Rose
487,Liz Rosenberg
488,Meg Rosoff
489,Veronica Rossi
490,Veronica Roth
491,Rainbow Rowell
492,J. K. Rowling
493,Lois Ruby
494,Anna Rutgers van der Loeff
495,Marie Rutkoski
496,Cynthia Rylant
497,Louis Sachar
498,Benjamin Alire Sáenz
499,Françoise Sagan
500,J. D. Salinger
501,Graham Salisbury
502,Liselle Sambury
503,Alex Sánchez (author)
504,Erika Sánchez
505,Brandon Sanderson
506,Gavriel Savit
507,Kurtis Scaletta
508,Ellen Schreiber
509,V. E. Schwab
510,Elizabeth Scott (author)
511,Kate Brian
512,Michael Scott (Irish author)
513,Lisa See
514,Marcus Sedgwick
515,Ruta Sepetys
516,Darren Shan
517,Dyan Sheldon
518,Sara Shepard
519,Zoa Sherburne
520,Valerie Sherrard
521,Gena Showalter
522,Mark Shulman (author)
523,Neal Shusterman
524,Adam Silvera
525,Marilyn Singer
526,Sarah Singleton
527,Alan Lawrence Sitomer
528,William Sleator
529,Andrew A. Smith
530,Betty Smith
531,Dodie Smith
532,L. J. Smith (author)
533,Roland Smith
534,Sonya Sones
535,Gary Soto
536,Ivan Southall
537,Beatrice Sparks
538,Nicholas Sparks (author)
539,Elizabeth George Speare
540,Eleanor Spence
541,Jerry Spinelli
542,Nancy Springer
543,ND Stevenson
544,Caroline Stevermer
545,Maggie Stiefvater
546,R. L. Stine
547,Laurie Faria Stolarz
548,Nic Stone
549,Tanya Lee Stone
550,Francisco X. Stork
551,Mats Strandberg
552,Todd Strasser
553,Jonathan Stroud
554,Zoe Sugg
555,Deirdre Sullivan
556,Nova Ren Suma
557,Courtney Summers
558,Rosemary Sutcliff
559,Krystal Sutherland
560,Tabitha Suzuma
561,Robin Talley
562,Sabaa Tahir
563,Mariko Tamaki
564,Janet Tashjian
565,Mildred Taylor
566,Laini Taylor
567,Jean Thesman
568,Aiden Thomas (author)
569,Angie Thomas
570,Joyce Carol Thomas
571,Rob Thomas (writer)
572,Kate Thompson (author)
573,Johanna Thydell
574,Sharon Tregenza
575,Megan Whalen Turner
576,Mark Twain
577,Ngozi Ukazu
578,Eleanor Updale
579,Vivian Vande Velde
580,Wendelin Van Draanen
581,Lizzie Velásquez
582,Siobhan Vivian
583,Ned Vizzini
584,Cynthia Voigt
585,Seita Vuorela
586,Judy Waite
587,Melissa Walker
588,Jeannette Walls
589,Eric Walters
590,Jen Wang
591,James Watson (author)
592,Catherine Webb
593,Jean Webster
594,Elizabeth E. Wein
595,Dan Wells (author)
596,Rosemary Wells
597,Nancy Werlin
598,Scott Westerfeld
599,Suzanne Weyn
600,John Corey Whaley
601,Alex Wheatle
602,Gloria Whelan
603,Kiersten White
604,Ysabeau S. Wilce
605,Terry Spear
606,Lili Wilkinson
607,Rita Williams-Garcia
608,Pam Withers
609,Ellen Wittlinger
610,Yu Wo
611,Allan Wolf
612,Virginia Euwer Wolff
613,Chris Wooding
614,Jacqueline Woodson
